tag,longitude,latitude,date,time,time_zone,diffuse,type,sza
070823_SNOWTEST1,7.46482,60.56764,2023-07-08,12:00,Europe/Oslo,0,HCRF25,38.4
070823_SNOWTEST2,7.46482,60.56764,2023-07-08,12:39,Europe/Oslo,0,HCRF25,38.1
070823_SNOWTEST3,7.46482,60.56764,2023-07-08,13:15,Europe/Oslo,0,HCRF25,39.0
070823_SNOWTEST4,7.46482,60.56764,2023-07-08,13:48,Europe/Oslo,0,HCRF25,40.6
070823_SNOWTEST5,7.46482,60.56764,2023-07-08,14:12,Europe/Oslo,0,HCRF25,42.2
070823_SNOWTEST6,7.46482,60.56764,2023-07-08,14:39,Europe/Oslo,0,HCRF25,44.4
070823_SNOWTEST7,7.46482,60.56764,2023-07-08,14:59,Europe/Oslo,0,HCRF25,46.2
070823_SNOWTEST8,7.46482,60.56764,2023-07-08,15:27,Europe/Oslo,0,HCRF25,49.0
070823_SNOWTEST9,7.46482,60.56764,2023-07-08,16:24,Europe/Oslo,0,HCRF25,55.4
070923_SNOW10,7.46482,60.56764,2023-07-09,15:23,Europe/Oslo,0,HCRF25,48.7
070923_SNOW1,7.46482,60.56764,2023-07-09,12:25,Europe/Oslo,0,HCRF25,38.2
070923_SNOW2,7.46482,60.56764,2023-07-09,12:40,Europe/Oslo,0,HCRF25,38.3
070923_SNOW3,7.46482,60.56764,2023-07-09,12:54,Europe/Oslo,0,HCRF25,38.5
070923_SNOW4,7.46482,60.56764,2023-07-09,13:14,Europe/Oslo,0,HCRF25,39.0
070923_SNOW5,7.46482,60.56764,2023-07-09,13:34,Europe/Oslo,0,HCRF25,39.9
070923_SNOW6,7.46482,60.56764,2023-07-09,13:57,Europe/Oslo,0,HCRF25,41.2
070923_SNOW7,7.46482,60.56764,2023-07-09,14:20,Europe/Oslo,0,HCRF25,42.9
070923_SNOW8,7.46482,60.56764,2023-07-09,14:40,Europe/Oslo,0,HCRF25,44.5
070923_SNOW9,7.46482,60.56764,2023-07-09,14:58,Europe/Oslo,0,HCRF25,46.2
071123_SNOW10,7.46482,60.56764,2023-07-11,13:36,Europe/Oslo,1,HCRF25,50.0
071123_SNOW1,7.46482,60.56764,2023-07-11,10:19,Europe/Oslo,1,HCRF25,50.0
071123_SNOW2,7.46482,60.56764,2023-07-11,10:38,Europe/Oslo,1,HCRF25,50.0
071123_SNOW3,7.46482,60.56764,2023-07-11,11:12,Europe/Oslo,1,HCRF25,50.0
071123_SNOW4,7.46482,60.56764,2023-07-11,11:25,Europe/Oslo,1,HCRF25,50.0
071123_SNOW5,7.46482,60.56764,2023-07-11,11:41,Europe/Oslo,1,HCRF25,50.0
071123_SNOW6,7.46482,60.56764,2023-07-11,11:56,Europe/Oslo,1,HCRF25,50.0
071123_SNOW7,7.46482,60.56764,2023-07-11,12:09,Europe/Oslo,1,HCRF25,50.0
071123_SNOW8,7.46482,60.56764,2023-07-11,12:57,Europe/Oslo,1,HCRF25,50.0
071123_SNOW9,7.46482,60.56764,2023-07-11,13:05,Europe/Oslo,1,HCRF25,50.0
071323_SNOW10,7.46482,60.56764,2023-07-13,12:31,Europe/Oslo,1,HCRF25,50.0
071323_SNOW11,7.46482,60.56764,2023-07-13,12:49,Europe/Oslo,1,HCRF25,50.0
071323_SNOW12,7.46482,60.56764,2023-07-13,12:56,Europe/Oslo,1,HCRF25,50.0
071323_SNOW13,7.46482,60.56764,2023-07-13,13:12,Europe/Oslo,1,HCRF25,50.0
071323_SNOW1,7.46482,60.56764,2023-07-13,11:16,Europe/Oslo,1,HCRF25,50.0
071323_SNOW2,7.46482,60.56764,2023-07-13,11:24,Europe/Oslo,1,HCRF25,50.0
071323_SNOW3,7.46482,60.56764,2023-07-13,11:31,Europe/Oslo,1,HCRF25,50.0
071323_SNOW4,7.46482,60.56764,2023-07-13,11:39,Europe/Oslo,1,HCRF25,50.0
071323_SNOW5,7.46482,60.56764,2023-07-13,11:46,Europe/Oslo,1,HCRF25,50.0
071323_SNOW6,7.46482,60.56764,2023-07-13,11:53,Europe/Oslo,1,HCRF25,50.0
071323_SNOW7,7.46482,60.56764,2023-07-13,11:59,Europe/Oslo,1,HCRF25,50.0
071323_SNOW8,7.46482,60.56764,2023-07-13,12:09,Europe/Oslo,1,HCRF25,50.0
071323_SNOW9,7.46482,60.56764,2023-07-13,12:19,Europe/Oslo,1,HCRF25,50.0
071423_SNOW10,7.46482,60.56764,2023-07-14,13:56,Europe/Oslo,0,HCRF25,41.8
071423_SNOW11,7.46482,60.56764,2023-07-14,14:01,Europe/Oslo,0,HCRF25,42.1
071423_SNOW12,7.46482,60.56764,2023-07-14,14:04,Europe/Oslo,0,HCRF25,42.3
071423_SNOW13,7.46482,60.56764,2023-07-14,14:11,Europe/Oslo,0,HCRF25,42.8
071423_SNOW14,7.46482,60.56764,2023-07-14,14:23,Europe/Oslo,0,HCRF25,43.7
071423_SNOW15,7.46482,60.56764,2023-07-14,14:23,Europe/Oslo,0,HCRF25,43.7
071423_SNOW16,7.46482,60.56764,2023-07-14,14:29,Europe/Oslo,0,HCRF25,44.2
071423_SNOW17,7.46482,60.56764,2023-07-14,14:41,Europe/Oslo,0,HCRF25,45.2
071423_SNOW18,7.46482,60.56764,2023-07-14,14:52,Europe/Oslo,0,HCRF25,46.2
071423_SNOW19,7.46482,60.56764,2023-07-14,14:59,Europe/Oslo,0,HCRF25,46.8
071423_SNOW1,7.46482,60.56764,2023-07-14,12:30,Europe/Oslo,0,HCRF25,38.9
071423_SNOW20,7.46482,60.56764,2023-07-14,15:12,Europe/Oslo,0,HCRF25,48.1
071423_SNOW22,7.46482,60.56764,2023-07-14,15:34,Europe/Oslo,0,HCRF25,50.4
071423_SNOW23,7.46482,60.56764,2023-07-14,15:47,Europe/Oslo,0,HCRF25,51.8
071423_SNOW24,7.46482,60.56764,2023-07-14,15:52,Europe/Oslo,0,HCRF25,52.4
071423_SNOW25,7.46482,60.56764,2023-07-14,16:01,Europe/Oslo,0,HCRF25,53.4
071423_SNOW26,7.46482,60.56764,2023-07-14,16:05,Europe/Oslo,0,HCRF25,53.8
071423_SNOW27,7.46482,60.56764,2023-07-14,16:14,Europe/Oslo,0,HCRF25,54.9
071423_SNOW28,7.46482,60.56764,2023-07-14,16:42,Europe/Oslo,0,HCRF25,58.2
071423_SNOW2,7.46482,60.56764,2023-07-14,12:37,Europe/Oslo,0,HCRF25,38.9
071423_SNOW3,7.46482,60.56764,2023-07-14,12:57,Europe/Oslo,0,HCRF25,39.2
071423_SNOW4,7.46482,60.56764,2023-07-14,13:10,Europe/Oslo,0,HCRF25,39.5
071423_SNOW5,7.46482,60.56764,2023-07-14,13:17,Europe/Oslo,0,HCRF25,39.8
071423_SNOW6,7.46482,60.56764,2023-07-14,13:23,Europe/Oslo,0,HCRF25,40.0
071423_SNOW7,7.46482,60.56764,2023-07-14,13:32,Europe/Oslo,0,HCRF25,40.4
071423_SNOW8,7.46482,60.56764,2023-07-14,13:43,Europe/Oslo,0,HCRF25,41.0
071423_SNOW9,7.46482,60.56764,2023-07-14,13:50,Europe/Oslo,0,HCRF25,41.4
072023_SNOW1,7.46482,60.56764,2023-07-20,13:06,Europe/Oslo,1,HCRF25,50.0
072123_SNOW11,7.46482,60.56764,2023-07-20,12:18,Europe/Oslo,1,HCRF25,50.0
072123_SNOW12,7.46482,60.56764,2023-07-20,12:25,Europe/Oslo,1,HCRF25,50.0
072123_SNOW13,7.46482,60.56764,2023-07-20,13:04,Europe/Oslo,1,HCRF25,50.0
072123_SNOW14,7.46482,60.56764,2023-07-20,13:28,Europe/Oslo,1,HCRF25,50.0
072123_SNOW15,7.46482,60.56764,2023-07-20,13:33,Europe/Oslo,1,HCRF25,50.0
072123_SNOW17,7.46482,60.56764,2023-07-20,13:45,Europe/Oslo,1,HCRF25,50.0
072123_SNOW2,7.46482,60.56764,2023-07-20,10:39,Europe/Oslo,1,HCRF25,50.0
072123_SNOW3,7.46482,60.56764,2023-07-20,10:50,Europe/Oslo,1,HCRF25,50.0
072123_SNOW4,7.46482,60.56764,2023-07-20,11:00,Europe/Oslo,1,HCRF25,50.0
072123_SNOW5,7.46482,60.56764,2023-07-20,11:05,Europe/Oslo,1,HCRF25,50.0
072123_SNOW6,7.46482,60.56764,2023-07-20,11:16,Europe/Oslo,1,HCRF25,50.0
072123_SNOW7,7.46482,60.56764,2023-07-20,11:25,Europe/Oslo,1,HCRF25,50.0
072123_SNOW8,7.46482,60.56764,2023-07-20,11:32,Europe/Oslo,1,HCRF25,50.0
072123_SNOW9,7.46482,60.56764,2023-07-20,11:42,Europe/Oslo,1,HCRF25,50.0
072323_SNOW10,7.46482,60.56764,2023-07-23,16:13,Europe/Oslo,0,HCRF25,56.1
072323_SNOW11,7.46482,60.56764,2023-07-23,16:25,Europe/Oslo,0,HCRF25,57.5
072323_SNOW12,7.46482,60.56764,2023-07-23,16:34,Europe/Oslo,0,HCRF25,58.5
072323_SNOW12_TESTADDALGAE,7.46482,60.56764,2023-07-23,16:34,Europe/Oslo,0,HCRF25,58.5
072323_SNOW1,7.46482,60.56764,2023-07-23,14:31,Europe/Oslo,0,HCRF25,45.8
072323_SNOW2,7.46482,60.56764,2023-07-23,14:37,Europe/Oslo,0,HCRF25,46.3
072323_SNOW3,7.46482,60.56764,2023-07-23,14:46,Europe/Oslo,0,HCRF25,47.1
072323_SNOW4,7.46482,60.56764,2023-07-23,14:52,Europe/Oslo,0,HCRF25,47.6
072323_SNOW5,7.46482,60.56764,2023-07-23,15:05,Europe/Oslo,0,HCRF25,48.8
072323_SNOW6,7.46482,60.56764,2023-07-23,15:24,Europe/Oslo,1,HCRF25,50.0
072323_SNOW7,7.46482,60.56764,2023-07-23,15:40,Europe/Oslo,1,HCRF25,50.0
072323_SNOW8,7.46482,60.56764,2023-07-23,15:53,Europe/Oslo,1,HCRF25,50.0
072323_SNOW9,7.46482,60.56764,2023-07-23,16:01,Europe/Oslo,1,HCRF25,50.0
072823_SNOW10,7.46482,60.56764,2023-07-28,14:42,Europe/Oslo,0,HCRF25,47.7
072823_SNOW11,7.46482,60.56764,2023-07-28,14:52,Europe/Oslo,0,HCRF25,48.6
072823_SNOW12,7.46482,60.56764,2023-07-28,15:02,Europe/Oslo,0,HCRF25,49.5
072823_SNOW13,7.46482,60.56764,2023-07-28,15:10,Europe/Oslo,0,HCRF25,50.3
072823_SNOW14,7.46482,60.56764,2023-07-28,15:19,Europe/Oslo,0,HCRF25,51.2
072823_SNOW15,7.46482,60.56764,2023-07-28,15:28,Europe/Oslo,0,HCRF25,52.1
072823_SNOW16,7.46482,60.56764,2023-07-28,15:36,Europe/Oslo,0,HCRF25,53.0
072823_SNOW17,7.46482,60.56764,2023-07-28,15:44,Europe/Oslo,0,HCRF25,53.8
072823_SNOW18,7.46482,60.56764,2023-07-28,15:51,Europe/Oslo,0,HCRF25,54.6
072823_SNOW19,7.46482,60.56764,2023-07-28,16:02,Europe/Oslo,0,HCRF25,55.8
072823_SNOW1,7.46482,60.56764,2023-07-28,12:20,Europe/Oslo,0,HCRF25,41.6
072823_SNOW20,7.46482,60.56764,2023-07-28,16:23,Europe/Oslo,1,HCRF25,50.0
072823_SNOW21,7.46482,60.56764,2023-07-28,16:36,Europe/Oslo,1,HCRF25,50.0
072823_SNOW2,7.46482,60.56764,2023-07-28,12:28,Europe/Oslo,0,HCRF25,41.6
072823_SNOW3,7.46482,60.56764,2023-07-28,12:37,Europe/Oslo,0,HCRF25,41.6
072823_SNOW4,7.46482,60.56764,2023-07-28,12:47,Europe/Oslo,0,HCRF25,41.7
072823_SNOW5,7.46482,60.56764,2023-07-28,12:54,Europe/Oslo,0,HCRF25,41.8
072823_SNOW6,7.46482,60.56764,2023-07-28,13:01,Europe/Oslo,0,HCRF25,42.0
072823_SNOW7,7.46482,60.56764,2023-07-28,13:57,Europe/Oslo,0,HCRF25,44.4
072823_SNOW8,7.46482,60.56764,2023-07-28,14:29,Europe/Oslo,0,HCRF25,46.7
072823_SNOW9,7.46482,60.56764,2023-07-28,14:36,Europe/Oslo,0,HCRF25,47.2
072923_SNOW1,7.46482,60.56764,2023-07-29,13:27,Europe/Oslo,0,HCRF25,43.1
072923_SNOW2,7.46482,60.56764,2023-07-29,13:51,Europe/Oslo,1,HCRF25,50.0
072923_SNOW3,7.46482,60.56764,2023-07-29,14:57,Europe/Oslo,1,HCRF25,50.0
073123_SNOW10,7.46492,60.56774,2023-07-31,16:42,Europe/Oslo,1,HCRF25,50.0
073123_SNOW11,7.46493,60.56775,2023-07-31,17:25,Europe/Oslo,1,HCRF25,50.0
073123_SNOW12,7.46494,60.56776,2023-07-31,17:45,Europe/Oslo,1,HCRF25,50.0
073123_SNOW1,7.46483,60.56765,2023-07-31,12:20,Europe/Oslo,0,HCRF25,42.3
073123_SNOW2,7.46484,60.56766,2023-07-31,13:36,Europe/Oslo,0,HCRF25,43.9
073123_SNOW3,7.46485,60.56767,2023-07-31,13:58,Europe/Oslo,1,HCRF25,50.0
073123_SNOW4,7.46486,60.56768,2023-07-31,14:31,Europe/Oslo,1,HCRF25,50.0
073123_SNOW5,7.46487,60.56769,2023-07-31,14:43,Europe/Oslo,1,HCRF25,50.0
073123_SNOW6,7.46488,60.5677,2023-07-31,15:10,Europe/Oslo,1,HCRF25,50.0
073123_SNOW7,7.46489,60.56771,2023-07-31,15:24,Europe/Oslo,1,HCRF25,50.0
073123_SNOW8,7.4649,60.56772,2023-07-31,16:09,Europe/Oslo,1,HCRF25,50.0
073123_SNOW9,7.46491,60.56773,2023-07-31,16:14,Europe/Oslo,1,HCRF25,50.0
080123_SNOW10,7.46484,60.56766,2023-08-01,12:53,Europe/Oslo,0,HCRF25,42.8
080123_SNOW11,7.46485,60.56767,2023-08-01,13:04,Europe/Oslo,1,HCRF25,50.0
080123_SNOW12,7.46486,60.56768,2023-08-01,13:11,Europe/Oslo,1,HCRF25,50.0
080123_SNOW13,7.46487,60.56769,2023-08-01,13:21,Europe/Oslo,0,HCRF25,43.5
080123_SNOW14,7.46488,60.5677,2023-08-01,13:33,Europe/Oslo,0,HCRF25,44.0
080123_SNOW15,7.46489,60.56771,2023-08-01,13:42,Europe/Oslo,1,HCRF25,50.0
080123_SNOW16,7.4649,60.56772,2023-08-01,14:26,Europe/Oslo,1,HCRF25,50.0
080123_SNOW17,7.46491,60.56773,2023-08-01,14:32,Europe/Oslo,0,HCRF25,47.8
080123_SNOW18,7.46492,60.56774,2023-08-01,14:41,Europe/Oslo,1,HCRF25,50.0
080123_SNOW19,7.46493,60.56775,2023-08-01,14:47,Europe/Oslo,1,HCRF25,50.0
080123_SNOW1,7.46482,60.56764,2023-08-01,11:39,Europe/Oslo,0,HCRF25,43.5
080123_SNOW20,7.46494,60.56776,2023-08-01,14:56,Europe/Oslo,1,HCRF25,50.0
080123_SNOW21,7.46495,60.56777,2023-08-01,15:04,Europe/Oslo,1,HCRF25,50.0
080123_SNOW22,7.46496,60.56778,2023-08-01,15:24,Europe/Oslo,0,HCRF25,52.6
080123_SNOW23,7.46497,60.56779,2023-08-01,15:38,Europe/Oslo,0,HCRF25,54.0
080123_SNOW2,7.46482,60.56764,2023-08-01,11:48,Europe/Oslo,0,HCRF25,43.2
080123_SNOW3,7.46482,60.56764,2023-08-01,11:54,Europe/Oslo,0,HCRF25,43.0
080123_SNOW4,7.46482,60.56764,2023-08-01,12:05,Europe/Oslo,0,HCRF25,42.8
080123_SNOW5,7.46482,60.56764,2023-08-01,12:12,Europe/Oslo,0,HCRF25,42.7
080123_SNOW6,7.46482,60.56764,2023-08-01,12:20,Europe/Oslo,0,HCRF25,42.6
080123_SNOW7,7.46482,60.56764,2023-08-01,12:29,Europe/Oslo,0,HCRF25,42.5
080123_SNOW8,7.46482,60.56764,2023-08-01,12:39,Europe/Oslo,0,HCRF25,42.6
080123_SNOW9,7.46483,60.56765,2023-08-01,12:45,Europe/Oslo,0,HCRF25,42.6
080623_SNOW10,7.46507,60.56789,2023-08-06,14:53,Europe/Oslo,1,HCRF25,50.0
080623_SNOW11,7.46508,60.5679,2023-08-06,15:04,Europe/Oslo,1,HCRF25,50.0
080623_SNOW12,7.46509,60.56791,2023-08-06,15:17,Europe/Oslo,1,HCRF25,50.0
080623_SNOW13,7.4651,60.56792,2023-08-06,15:23,Europe/Oslo,1,HCRF25,50.0
080623_SNOW15,7.46512,60.56794,2023-08-06,15:35,Europe/Oslo,1,HCRF25,50.0
080623_SNOW16,7.46513,60.56795,2023-08-06,15:43,Europe/Oslo,1,HCRF25,50.0
080623_SNOW17,7.46514,60.56796,2023-08-06,15:54,Europe/Oslo,1,HCRF25,50.0
080623_SNOW18,7.46515,60.56797,2023-08-06,16:03,Europe/Oslo,1,HCRF25,50.0
080623_SNOW19,7.46516,60.56798,2023-08-06,16:11,Europe/Oslo,1,HCRF25,50.0
080623_SNOW1,7.46498,60.5678,2023-08-06,13:27,Europe/Oslo,1,HCRF25,50.0
080623_SNOW20,7.46517,60.56799,2023-08-06,16:22,Europe/Oslo,1,HCRF25,50.0
080623_SNOW21,7.46518,60.568,2023-08-06,16:32,Europe/Oslo,1,HCRF25,50.0
080623_SNOW22,7.46519,60.56801,2023-08-06,16:38,Europe/Oslo,1,HCRF25,50.0
080623_SNOW23,7.4652,60.56802,2023-08-06,16:44,Europe/Oslo,1,HCRF25,50.0
080623_SNOW24,7.46521,60.56803,2023-08-06,16:56,Europe/Oslo,1,HCRF25,50.0
080623_SNOW25,7.46522,60.56804,2023-08-06,17:07,Europe/Oslo,1,HCRF25,50.0
080623_SNOW2,7.46499,60.56781,2023-08-06,13:34,Europe/Oslo,1,HCRF25,50.0
080623_SNOW3,7.465,60.56782,2023-08-06,13:50,Europe/Oslo,1,HCRF25,50.0
080623_SNOW4,7.46501,60.56783,2023-08-06,14:01,Europe/Oslo,1,HCRF25,50.0
080623_SNOW5,7.46502,60.56784,2023-08-06,14:09,Europe/Oslo,1,HCRF25,50.0
080623_SNOW6,7.46503,60.56785,2023-08-06,14:17,Europe/Oslo,1,HCRF25,50.0
080623_SNOW7,7.46504,60.56786,2023-08-06,14:29,Europe/Oslo,1,HCRF25,50.0
080623_SNOW8,7.46505,60.56787,2023-08-06,14:36,Europe/Oslo,1,HCRF25,50.0
080623_SNOW9,7.46506,60.56788,2023-08-06,14:47,Europe/Oslo,1,HCRF25,50.0
